# Common WoW / WC3 ORPG terms EN -> zh-CN
Hero	英雄
Mana	法力
Gold	金币
Lumber	木材
Hit Points	生命值
Hitpoints	生命值
Armor	护甲
Damage	伤害
Cooldown	冷却
Ability	技能
Spell	法术
Quest	任务
Inventory	背包
Equipment	装备
Equipment Bag	装备袋
Resurrection Stone	复活石
Skill Points	技能点
Alliance	联盟
Horde	部落
Neutral	中立
Hostile	敌对
Artifact	神器
Unique	唯一
Legendary	传说
Epic	史诗
Rare	稀有
Common	普通
Strength	力量
Agility	敏捷
Intelligence	智力
Night Elf	暗夜精灵
Blood Elf	血精灵
Undead	亡灵
Orc	兽人
Human	人类
Tauren	牛头人
Troll	巨魔
Draenei	德莱尼
Worgen	狼人
Goblin	地精
Dwarf	矮人
Gnome	侏儒
Naga	纳迦
Demon	恶魔
Paladin	圣骑士
Warrior	战士
Mage	法师
Priest	牧师
Warlock	术士
Hunter	猎人
Rogue	潜行者
Druid	德鲁伊
Shaman	萨满祭司
Death Knight	死亡骑士
Monk	武僧
Demon Hunter	恶魔猎手
No target.	无目标。
No targets.	无目标。
Invalid target.	无效目标。
Back	返回
Close	关闭
OK	确定
Apply	应用
Cancel	取消
Confirm	确认
Yes	是
No	否
Thief	盗贼
Valkyrie	瓦尔基里
Ranger	游侠
Squire	侍从
Cleric	牧师
Magician	魔术师
Berserker	狂战士
Crusader	十字军
Assassin	刺客
Bard	吟游诗人
Sorcerer	巫师
Necromancer	死灵法师
Monk	武僧
Bishop	主教
Druid	德鲁伊
Hunter	猎人
Mystic	秘术师
Psion	灵能者
Hexblade	咒刃
Farmer	农夫
Farmer Greavus	农夫格里瓦斯
Training Dagger	训练匕首
Armor type:	护甲类型：
Weapon type:	武器类型：
Misc Item type:	杂项物品类型：
Requirement:	需求：
Recipe	配方
Mount	坐骑
Leather	皮甲
Mail	锁甲
Cloth	布甲
Plate	板甲
Personal	个人
Team	队伍
